Gender,Age,Height,Weight,BMR,Calories
0,29,165,101,1901.25,2281.502
1,25,165,53,1275.25,2422.978
0,23,170,70,1652.5,1983
0,22,168,112,2065,2478
0,19,175,67,1673.75,2594.313
0,24,165,70,1616.25,1939.502
0,30,155,90,1723.75,2068.498
0,16,157,73,1636.25,1963.502
0,23,183,110,2133.75,2560.498
0,23,168,49,1430,1716
0,32,165,46,1336.25,1603.502
0,18,180,110,2140,2942.495
1,22,155,43,1127.75,1353.298
0,25,173,69,1651.25,2848.407
0,26,168,52,1445,1734
0,22,165,75,1676.25,2011.502
0,20,170,60,1567.5,1881
0,24,170,90,1847.5,2217
1,44,165,92,1570.25,1884.302
0,21,168,90,1850,2543.756
0,34,155,88,1683.75,2020.498
0,20,163,49,1413.75,1696.498
0,36,155,120,1993.75,2392.498
1,28,157,75,1430.25,1716.302
0,21,168,65,1600,2480.003
0,22,168,105,1995,2394
1,22,163,61,1357.75,1629.298
0,24,173,61,1576.25,2167.345
0,24,168,77,1705,2046
1,52,160,78,1359,1630.8
0,21,180,64,1665,3163.502
0,51,170,51,1322.5,1587
0,30,168,91,1815,2495.628
0,21,160,45,1350,1620
0,26,163,47,1363.75,1636.498
0,24,163,107,1973.75,2368.498
0,22,165,110,2026.25,2431.502
1,29,163,82,1532.75,2107.531
0,21,168,67,1620,1944
0,22,173,80,1776.25,2131.502
1,32,142,96,1526.5,1831.8
1,37,155,78,1402.75,1683.298
0,25,160,104,1920,2304
1,24,165,61,1360.25,1632.302
0,35,163,62,1468.75,1762.498
1,29,152,98,1624,1948.8
0,26,173,96,1916.25,2634.84
0,26,170,94,1877.5,2253
1,34,152,58,1199,1438.8
0,28,170,109,2017.5,2421
1,27,157,77,1455.25,1746.302
1,21,163,92,1672.75,2007.298
0,44,157,55,1316.25,1579.502
1,22,157,58,1290.25,1548.302
1,35,160,80,1464,1756.8
1,24,168,103,1799,2158.8
1,40,142,82,1346.5,1615.8
1,21,142,80,1421.5,1705.8
1,22,157,48,1190.25,1428.302
1,22,155,45,1147.75,1377.298
1,23,168,65,1424,1958.003
1,21,157,50,1215.25,1670.967
0,23,170,77,1722.5,3272.756
0,23,168,85,1790,2461.25
0,21,170,60,1562.5,2695.316
1,20,160,65,1389,1666.8
0,22,165,40,1326.25,1591.502
0,30,165,103,1916.25,2299.502
1,20,165,46,1230.25,1476.302
1,30,152,99,1629,1954.8
0,36,168,51,1385,1662
0,23,160,41,1300,1560
0,19,155,99,1868.75,2242.498
0,25,157,113,1991.25,2389.502
0,22,175,81,1798.75,2158.498
0,41,163,101,1828.75,2194.498
